item_id,item_idx,text_clean
twitter15_387010299536355328,49,as a former federal agent i find this story hard to believe even for this white house url spitehouse
twitter15_387021726007042051,50,cruz stood 21 hours for freedom obama won t stand for missing children amberalert shutdown
twitter15_387030572779847680,51,non essential services shutdown can someone explain to me how url is essential while url is not
twitter15_387031585834278912,52,obama has shut down amber alert website to find missing children but still has fuel economy website up url
twitter15_387041762331471872,53,obama keeps michelle s url site running despite the shutdown but url is shutdown because spitehouse
twitter15_387050178932654080,54,obama has taken down amber alert website during shutdown but michelle s let s move site is still up at least missing kids won t be thirsty
twitter15_387220814531395584,55,amber alert website which shows critical missing children bulletins is offline due to government shutdown url
twitter15_387233034350514176,56,if amber alert really had to shutdown b c of lack of funds as obama said why did it go back up today after bad pr governmentshutdown
twitter15_387236601450864641,57,white house shutdown url but are posting alerts on him getting a sandwich url
twitter15_387237225286479872,58,obama administration shuts down amber alert site blames confusion don t worry they re still in charge of your health care
twitter15_387281927427727360,59,never thought i d see the day when obama would play politics with kids url pjnet url
twitter15_387309869080281088,60,it says a lot about your worldview that you hear obama is donating a muslim museum and it makes sense to you url
twitter15_387353560356118528,61,a claim that obama used the shutdown to scuttle the amber alert system reveals an ignorance about amber alerts url
twitter15_407158558158254081,63,paul walker s friends and castmates poured out their hearts overnight url rippaulwalker
twitter15_407159686786732032,64,paul walker s fast and the furious costars and more react to the actor s tragic death url
twitter15_407162181059612672,66,paul walker died at the age of 40 saturday our hearts go out to his family and friends url
twitter15_407163499723624449,67,paul walker died shortly after attending a charity event for his organization reach out worldwide url
twitter15_407163869673443328,68,woke up to news of paul walker s death and a train derailment in the bronx that left at least 4 dead have to remember how lucky we can be
twitter15_407167258452971520,71,paul walker mourned by vin diesel and more fast furious co stars url rippaulwalker url
twitter15_407167928313081856,72,fast furious stars heartbreakingly mourn paul walker s death url url
twitter15_407169699559247872,74,celebrities friends and co stars react to paul walker s tragic death rippaulwalker url url
twitter15_407173794583695360,78,paul walker s genuinely admirable history of organizing participating in international disaster relief missions url
twitter15_407176055657484289,80,the last photo of paul walker taken just before the crash that killed him rip url
twitter15_407176873605865472,81,new info on the crash that killed paul walker url rippaulwalker
twitter15_407177474788057088,82,r i p to the driver that died with paul walker that no one cares about because he wasn t famous
twitter15_407179055763836928,83,did speed play a part in paul walker s death url
twitter15_407181813174788096,84,paul walker s co stars take to twitter to share their condolences following his death url rippaulwalker teampw
twitter15_407182194206322689,85,the motoring world responds to paul walker s death url url
twitter15_407182466613792768,86,fan of fast furious actor paul walker shocked by his death as memorial grows url url
twitter15_407184707118309376,87,remembering paul walker fast and furious star was so happy hours before his tragic death url
twitter15_407184730988097536,88,my heart goes out to loved ones and fans of paul walker who died in a car wreck saturday word is he was a really good dude rippaulwalker
twitter15_407187197427593217,90,paul walker s character in fast and the furious was named brian brian from family guy also died this week both deaths involved cars umm
twitter15_407188779255222273,91,paul walker remembered celebs react to fast and furious star s death url
twitter15_407192126032986112,96,ap video police say speed was a factor in an l a crash that killed 2 including fast furious actor paul walker url
twitter15_407192370040803329,97,remembering paul walker url url
twitter15_407193347279699968,98,remembering paul walker fast and furious star was so happy hours before his tragic death url
twitter15_407197672702214144,100,prayers to our friend tyrese his emotional message about paul walker got us choked up url
twitter15_407198615137181696,102,r i p roger rodas the man who died with paul walker that everybody forgot about rippaulwalker riprogerrodas url
twitter15_407205404075376640,105,r i p to the driver who died with paul walker that no one cares about because he wasn t famous
twitter15_407206094747209728,106,r i p to roger rodas who died alongside paul walker url
twitter15_407209131351629824,107,we send our deepest condolences to the family and friends of paul walker and roger rodas url url
twitter15_407211258304552960,110,paul walker was doing good and giving back on the day of his tragic death url
twitter15_407212665350942720,111,fast and furious cast mourns paul walker s death url
twitter15_407213772328022016,113,fast and furious star paul walker dead in car crash what next samuel l jackson killed by snakes on a plane
twitter15_407217865973329920,115,rip roger rodas the man who died with paul walker rippaulwalker riprogerrodas url
twitter15_407223928084766721,117,paul walker s death fast furious 7 delayed but won t be scrapped url
twitter15_407231591191035904,119,paul walker died too fast i m furious
twitter15_407232661107642368,121,the five movie roles that made us fall in love with paul walker url rippaulwalker url
twitter15_407234399093022720,123,also rip roger rodas the man who died along with paul walker that seems to never be mentioned url
twitter15_407236151167025152,124,r i p to the driver that died with paul walker that no one cares about because he wasn t famous
twitter15_407237676350185475,125,@user died in a fiery car crash @user filmmakers will commemorate his legacy by dedicating the next six sequels to him
twitter15_407244865018155008,126,i can t belive people are comparing paul walker s death to brian from family guy shows how stupid and ignorant people are
twitter15_407248574099894272,127,fast and furious 7 delayed but won t be scrapped following paul walker s death report url
twitter15_407253198395555840,128,fast furious 7 might still come out even after paul walker s death url
twitter15_407254590363426816,130,fast and furious 7 delayed but won t be scrapped following paul walker s death report url
twitter15_407262869152358400,132,paul walker was so happy hours before his tragic death url
twitter15_407262953533353984,133,late actor paul walker s admirable history of organizing participating in international disaster relief missions url
twitter15_407267881131732992,135,watch paul walker s last trailer for the film hours the movie is set to release in two weeks url
twitter15_407269894938718208,136,tmz posted this two days before paul walker died illuminati url
twitter15_407275991610818560,137,paul walker s death brought out the worst in some twitter users i compiled the stupidity for @user url
twitter15_407279190913069056,138,fast furious franchise responds to paul walker s death url url
twitter15_407290084593913856,139,rip to the driver who was also killed along with paul walker who no one seems to care about url
twitter15_407290871856369664,140,r i p paul walker why are people making jokes about his death not funny at all
twitter15_407292452060815360,141,in the wake of paul walker s tragic death what s the future of the @user movies url rippaulwalker
twitter15_427652211414274048,142,ex marlboro man dies from smoking related disease url
twitter15_427662266993889280,143,actor who portrayed marlboro man in cigarette ads in late 1970s dies from smoking related disease url
twitter15_427666815842414592,144,ex marlboro man dies from smoking related disease url via @user
twitter15_427689948398231552,145,actor eric lawson who portrayed the marlboro man dies from chronic obstructive pulmonary disease url
twitter15_427690961280696320,146,man who portrayed the marlboro man in the 1970s dies from smoking related disease url
twitter15_427725166127226881,147,eric lawson former marlboro man in cigarette ads dies of smoking related disease url url
twitter15_427762638274437120,148,actor who played marlboro man in ads dies from smoking related disease url
twitter15_427780584979836929,149,marlboro ad man eric lawson dies of chronic lung disease url @user
twitter15_427831952826449920,150,ex marlboro man dies from smoking related disease url
twitter15_427846006600777729,151,marlboro man dies of smoking related disease url url
twitter15_427924694663454720,152,actor who played marlboro man in ads dies from smoking related disease url
twitter15_427944719612915712,153,ex marlboro man dies from smoking related disease url
twitter15_428366153149194240,154,obamacare will soon require you to get an rfid chip implanted into your skin to monitor and track you
twitter15_435998882250899456,155,what if talking angela is actually boris laursen he be like i just stole all your personal information what are you going to do about it
twitter15_436089462326849536,158,omfg read this its my personal experience with talking angela url
twitter15_436157173161144321,160,talking angela gets ur personal info he s a kidnapper he watches u through ur camera url
twitter15_436157398269849602,161,hot pockets recall involves meat from place fda says processed diseased and unsound animals url url
twitter15_436160836524965891,162,nestlé usa has issued a recall of hot pockets see the varieties affected url
twitter15_450341615979069440,166,@user @user what successful clone of dinosaurs url holy shit is that real
twitter15_470025166760980483,168,where is michelle obama s hashtag for meriam ibrahim she s pregnant and sentenced to die url url
twitter15_482880640560271361,169,religious subjugation u s troops in bahrain getting ramadan training url tcot
twitter15_489794369487380480,170,breaking malaysian airlines passenger shot down near russian border in ukraine url url
twitter15_489794593580650497,171,breaking malaysia airlines passenger shot down near russian border in ukraine url url
twitter15_489794696013967360,172,breaking malaysian airlines passenger shot down near russian border in ukraine url url
twitter15_489796088338341888,173,breaking malaysia airlines plane shot down was carrying 295 people url url
twitter15_489796998615547904,174,breaking malaysia airlines plane shot down travelling from amsterdam to kuala lumpur url url
twitter15_489798219283857408,175,ukrainian minister says rebels shot down mh17 malaysia airlines plane url url
twitter15_489798752358916096,176,malaysia airlines plane mh17 shot down in ukraine near russian border url url
twitter15_489798752438583297,177,malaysia airlines plane mh17 shot down in ukraine near russian border url url
twitter15_489800427152879616,178,malaysia airlines says it lost contact with plane that was flying in ukrainian airspace url url
twitter15_489812926828924928,180,mh17 was shot down by terrorists an advisor to ukraine s minister of internal affairs says url url
twitter15_489816746405007360,181,first photo from the malaysia airlines crash site in ukraine via @user url mh17 url
twitter15_489818014364086273,182,mh17 is believed shot down with old soviet built buk surface to air missile system url url
twitter15_489820657291911168,183,reported photographs from malaysia airlines mh17 crash url url
twitter15_489829414704648192,184,เผยกบฏย เครนอาจเข าใจผ ดค ดว า mh17 เป นเคร องบ นทหารย เครนร กล ำ 14 ก ค ก เพ งย งตกไปลำ url url
twitter15_489833932813516800,185,this is the surface to air missile ukraine says shot down malaysia airlines plane url url
twitter15_489836271049928704,186,could a buk surface to air missile system have brought down malaysia airlines flight 17 url mh17 url
twitter15_489836441120145408,187,first pics from the site in ukraine where mh17 crashed url url
twitter15_489841070818488320,188,nine britons and 80 children feared dead after flight mh17 shot down url url
twitter15_489854703321509888,189,nine britons 23 us citizens and 80 children feared dead after mh17 jet shot down url url
twitter15_489865454312099840,190,authorities collecting passports at mh17 crash site australian coat of arms clearly visible url url
twitter15_489867900296368129,191,pro russian rebel leader in leaked audio cossacks shot down the plane url mh17 url
twitter15_489872119158046720,192,latest malaysia airlines mh17 shot down by a surface to air missile u s officials say url url
twitter15_489872500462190593,193,new leaked phone call between rebel leader russian intel agent cossacks shot down mh17 url url
twitter15_489874311143260160,194,@user biden malaysia airlines mh17 was shot down not an accident blown out of the sky url
twitter15_489887806018183168,195,malaysia airlines executive releases partial list of passengers nationalities url url mh17
twitter15_489902412900343809,196,update rebel leader in recorded call we just shot down a plane english subtitles url mh17 url
twitter15_489968646014246912,197,here s the passenger breakdown by nationality url mh17 url
twitter15_489974591985840128,199,ukraine officials say malaysian jet was shot down by a buk missile system url mh17 url
twitter15_489975398151618560,200,a memorial for mh17 victims forms near the netherlands embassy in kiev url roman pilipey epa url
twitter15_490080544949276672,201,ukraine officials say malaysia plane mh17 was shot down by a buk missile system url url
twitter15_490136764619948032,202,the fact that malaysia airlines mh17 was shot down may hinder insurance payouts url url
twitter15_490141776984825856,203,u s intel missile that hit mh17 was most likely fired by pro russian separatists details url url
twitter15_491200302365040640,204,who shot down the plane where are the black boxes 8 unanswered questions from mh17 url url
twitter15_491241885399539712,205,ukrainian military jet was flying close to mh17 before it was shot down says russian officer url url
twitter15_491591245152935936,206,a russian officer pushed that button deliberately shot down mh17 ukrainian gov says url url
twitter15_495305620342714369,207,tesla says it s broken ground near reno nevada for a 5 billion battery plant url url
twitter15_495365942726381568,208,riphulkhogan you lifted weights but you also lifted my heart
twitter15_495366618818830336,209,riphulkhogan my heart is ripping like your shirt wwe ll miss you
twitter15_495583434954514432,210,bird pooped on putin when he was saying violence begets violence at the opening of monument to the 1st world war url
twitter15_496698590153416704,211,justin bieber ringtone saves russian fisherman from potentially fatal bear attack
twitter15_497073936077959169,212,breaking justin bieber thwarts bear attack url url
twitter15_498280126254428160,213,mike brown was staying with his grandmother for the summer who lived in the community ferguson
twitter15_499366666300846081,214,line of police cars with high beams on greets anyone trying to enter ferguson it s shut down no media allowed url
twitter15_499368931367608320,215,currently the foxnews website has zero repeat zero coverage of the ferguson protests probably due to lack of cowboy hats
twitter15_499456140044824576,216,st louis co police tell me ofcr shot a man who pointed handgun at him at chambers sheffingdell at about 1 a m man in critical ferguson
twitter15_499530130487017472,217,a woman in ferguson was shot in head last night and released this selfie conflicting reports of how it happened url
twitter15_499612545909415938,218,nearly 7k blacks were murdered last yr almost all by other blacks a tiny were unarmed killed by cop where s al jesse tcot ferguson
twitter15_499679379820412928,219,confirmed mikebrown had no criminal record url ferguson url
twitter15_499683602452717569,220,confirmed this is irrelevant rt @user confirmed mikebrown had no criminal record url ferguson
twitter15_500258409988763649,221,name of ferguson cop is expected to be released by 9 et police chief says url j b forbes ap url
twitter15_500270780832174080,222,police in ferguson plan to release name of officer who shot unarmed teen michael brown url url
twitter15_500278045597368320,223,urgent darren wilson is the police officer who shot mike brown url ferguson url
twitter15_500278294055768064,224,ferguson police chief officer involved in shooting of michael brown was darren wilson a 6 year veteran with no disciplinary record
twitter15_500279160795721728,225,question for ferguson police chief if officer darren wilson was in pursuit of a robbery suspect why tell kids to get out of the road lie
twitter15_500279189405433858,226,that was very slick of the police chief to create a narrative that mikebrown was a suspect in a robbery ferguson
twitter15_500280422295937024,227,darren wilson is a six year veteran of the ferguson police and had no disciplinary actions against him
twitter15_500280838710247424,228,police reports released this morning indicate mike brown was a suspect in a strong armed robbery in ferguson
twitter15_500281094239817728,229,mikebrown wanted to walk down the street and he is dead and the ferguson pd is using his silence in death to make him a criminal
twitter15_500281131057811456,230,breaking news according to documents released to the press mikebrown was connected to an earlier robbery ferguson url
twitter15_500284699546517505,231,if there is surveillance of a robbery why release stills and not the video itself ferguson
twitter15_500286058664579072,232,update ferguson police release stills from convenience store footage showing robbery url url
twitter15_500288349924782080,233,did anyone think of comparing the clothes that mikebrown was wearing when he was laying on the street to the security footage ferguson
twitter15_500290456845299714,234,here s the police report somehow ferguson cops valued a box of swishers at nearly 50 time to stop smokin i guess url
twitter15_500294803402137600,235,photos of alleged robbery involving michael brown in ferguson via police url url
twitter15_500295393301647360,236,the other day i asked a manager at the ferguson market if police had requested surveillance video she said no
twitter15_500298752469770240,237,shoot unarmed kid conceal evidence impose martial law harass reporters smear the victim worst police ever ferguson mikebrown
twitter15_500303431928922113,238,reminder forget the robbery forget the minor looting nothing justifies militarized police pointing sniper rifles at journalists ferguson
twitter15_500307001629745152,239,it appears that ferguson pd are trying to assassinate mike brown s character after literally assassinating mike brown
twitter15_500308076004929537,240,possible robbery took place and bam like magic it s as if another unarmed black youth being murdered has been forgotten smh ferguson
twitter15_500319675797209088,241,if we shot everyone in the street for stealing imagine the carnage on wall st mikebrown ferguson
twitter15_500319801344929795,242,the day ferguson cops told a dirty bloody lie via @user url url
twitter15_500327106824245249,243,all weekend ppl will be talking about the robbery instead of the shooting bc ferguson pd didn t release any info about the shooting
twitter15_500327120770301952,244,how many white celebrities have been caught shoplifting and end up dead in streets i ll wait ferguson
twitter15_500332933098385408,245,if you can justify shooting an unarmed teenager by saying he might have been committing a misdemeanor you are a fucking asshole ferguson
twitter15_500341884678836224,246,hobby lobby asks ferguson pd for clarification we thought chopping off someone s hand was the maximum penalty for shoplifting
twitter15_500347114975944705,247,new link ferguson police release video they say shows a robbery involving michaelbrown url url
twitter15_500354773133299713,248,in 2009 ferguson police beat a man and charged him for bleeding on them url
twitter15_500363126294863876,249,the ferguson police chief just basically confirmed mikebrown was gunned to death for the crime of walking in the street horrific
twitter15_500363740311982081,250,what s so frustrating is that now we are talking about a robbery and not the killing of an unarmed kid ferguson
twitter15_500371149713178625,251,in what world do you let a cop who killed someone leave town url ferguson
twitter15_500377145349521411,252,to be clear an unarmed teenager possibly stealing a box of cigars does not warrant being shot to death by the police ferguson
twitter15_500377906305327104,253,ferguson pd charged henrydavis w destruction of property for bleeding on their uniforms url url
twitter15_500378522788315137,254,ferguson police officer involved in fatal shooting of michael brown didn t know he was suspect in alleged robbery url
twitter15_500381163866062848,255,report ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 url
twitter15_500389488217309184,256,ferguson chief let most of day go by b4 disclosing after repeated qs that cop who killed mikebrown knew nothing about robbery danger
twitter15_500391222075076610,257,store owner told @user monday that there was a theft but said it was not michaelbrown said it was someone else ferguson
twitter15_500394061887709184,258,the press conf makes ferguson pd look like they ve gone from stonewalling to counter punching we give up a name we drag his thru the mud
twitter15_500413818368184321,259,remarkably despite the military style police presence in ferguson a known killer was able to skip town url
twitter15_501474962935648256,260,the first general killed in a combat zone since vietnam it is a travesty that obama did not attend major general harold greene s funeral
twitter15_501760566160289794,261,78 were arrested overnight in ferguson more than double the total reported by authorities url url
twitter15_501768276523761666,262,a list of overnight arrests in ferguson shows a much higher number than officials reported url url
twitter15_501774251901198336,263,a list of overnight arrests in ferguson shows a much higher number than officials reported url url
twitter15_501774615837163521,264,list of overnight arrests in ferguson much higher than officials reported url url via @user
twitter15_501781217411215360,265,78 not 31 arrested overnight in ferguson url
twitter15_501785003144273921,266,nbc arrest records show ferguson cops jailed twice as many people last night as they originally claimed url
twitter15_501827465032237056,267,isis beheads photojournalist james wright foley in a massage to us to end its intervention in iraq url
twitter15_501881262240694272,268,please pray for steven sotloff another captive american that isis has threatened to behead tcot url
twitter15_501934077612941312,269,wapo british examining foley video to compare it with former guantanamo bay prisoners believed to have joined the islamic state
twitter15_503498696273965056,270,key foley beheading suspect is abdel majed bary 23 who left his 1m west london home last year url
twitter15_503609826128044032,271,suspect in beheading of journalist james foley named as 24 y o abdel majed abdel bary url
twitter15_503610065769598976,272,breaking suspect in beheading of journalist james foley named as 24 y o abdel majed abdel bary url via @user
twitter15_503714147138166784,273,looks so innocent without the hood you would never think this london rapper abdel majed abdel bary beheaded foley url
twitter15_504106473467944960,274,this audio tape played on cnn seems to corroborate witness accounts that darrenwilson kept shooting after michaelbrown tried to surrender
twitter15_504109775358287872,275,@user alleged new shooting audio of michaelbrown url
twitter15_504131150429061121,276,breaking fbi uncovers new audio from neighbor on skype lawyer counts 11 shots mikebrown url url
twitter15_504131654810877952,277,attorney new audio reveals pause in gunfire when michael brown was shot url
twitter15_504243239084236800,278,new audio recording reveals shots pause more shots at mike brown killing more shots than 6 fired url
twitter15_504244627680272384,279,cnn new audio reveals 10 shots fired at michael brown cluster of 6 a pause and then 4 more url
twitter15_504267796424163328,280,can new audio help the michael brown investigation listen to what an attorney says could be key to the investigation url
twitter15_504304227246538752,281,audio may have captured michael brown shooting url
twitter15_504387128013246465,282,fbi probing alleged audio of michael brown shooting url url
twitter15_504419526998360064,283,nhl expansion to las vegas is reportedly a done deal url url
twitter15_504433135036407808,284,gonna be unreal when las vegas goes undefeated at home every year nhl expansion
twitter15_504441156575297536,285,looking forward to first matchup between las vegas nhl expansion team and a canadian team url
twitter15_504448356584677377,286,nhl expansion four teams added by 2017 quebec city toronto seattle and las vegas 1 4b in expansion fees
twitter15_504450741126582275,287,waking up late for pre game skate in vegas like nhl expansion url
twitter15_504453071041482753,288,report nhl expansion to las vegas a done deal url url
twitter15_504478567062056962,289,report toronto seattle quebec city to join vegas in 2017 nhl expansion url
twitter15_504652021601800193,291,icebucketchallenge donations exceed 94 million thank you for your support url
twitter15_504771233557147648,292,maybe tupac is alive and we re dead
twitter15_505611045897924608,295,15 year old who swatted gamer convicted of domestic terrorism 25 years to life in federal prison url
twitter15_506118402466152449,297,i m alive see you soon
twitter15_506784541696991232,299,47 days after his plane was shot down over ukraine mh17 pilot laid to rest url url
twitter15_507242819623587841,300,breaking tesla to choose nevada for gigafactory sources tell cnbc url
twitter15_507257950868885504,301,breaking ap source tesla motors has selected nevada as site for 5b electric car battery factory
twitter15_507261372313640961,302,more tesla motors picks nevada as home of new electric car battery factory beating 4 other states url
twitter15_507263441359613953,303,tesla reportedly selects nevada to build massive 5 billion battery plant url via @user url
twitter15_507354546041925632,304,betty white is victim of death hoax after fans misread satirical story about 92 year old s dye job url
twitter15_507454543169617920,305,no internet betty white is not dead url photo getty url
twitter15_507557659206516736,306,betty white never die she my lady still i never have the sex with her
twitter15_507634536176300032,307,if betty white dies today and steals joan s thunder i will unleash a reign of terror upon this nation the likes of which u have never seen
twitter15_507918114567499776,308,al shabaab leader ahmed abdi godane killed in monday s u s airstrike in somalia pentagon says url
twitter15_508002575858561024,309,pentagon confirms ahmed abdi godane a leader of the al shabaab islamist group was killed in a u s airstrike url
twitter15_509031495101874176,310,breaking news durex has not come out with a pumpkin spice condom url url
twitter15_509077805296914432,311,muslim arrested in texas today with isis flag on body armor url
twitter15_509084603617792001,312,don t worry ppl isis isn t a threat to homeland man wearing body armor with isis flag on it arrested in texas url
twitter15_509114008587100160,313,sorry everyone durex is not making pumpkin spice condoms this fall url url
twitter15_509152237503778816,314,calm yourselves durex has not come out with a pumpkin spice condom url url
twitter15_509463916586762241,315,breaking microsoft is near a deal to buy minecraft maker mojang url
twitter15_509463933564891137,316,huh the wall street journal reports microsoft is close to a 2b deal with mojang aka the creators of minecraft url
twitter15_509464217549021184,317,report microsoft trying to buy mojang creators of minecraft url
twitter15_509464271118688257,318,source microsoft in discussions to buy minecraft maker mojang for more than 2 billion @user url
twitter15_509464457836511232,319,apparently microsoft are trying to buy mojang the creators of minecraft for around 2 billion o_o
twitter15_509466295344304129,320,microsoft is reportedly buying minecraft developer mojang for 2 billion url
twitter15_509478961705807872,322,microsoft to buy mojang for 2 billion report deal to be finalised as early as this week url url
twitter15_510286132568150016,323,detroit niggas are savages they stole the batmobile url
twitter15_510507736287961088,324,us govt reportedly threatened to prosecute family of kidnapped journalist jim foley if it paid ransom url h t @user
twitter15_510906049549705216,325,breaking news isis beheads a british hostage david haines in message to america s partners url
twitter15_510908595144519680,326,david haines beheading isis release video claiming to show execution of british hostage url url
twitter15_510916464631889920,327,islamic state video purports to show beheading of british hostage david haines officials can t confirm @user url
twitter15_510916647373516800,328,a video has been released by isis apparently showing the murder of british hostage david haines url
twitter15_510916725953417218,329,just in isis video claims to show beheading of british citizen url
twitter15_510918747188514816,330,breaking video claims to show beheading of british aid worker david haines by isis
twitter15_510921017972514817,331,uk aid worker david haines beheaded by isis remember this great giving man this way not as isis wants @user url
twitter15_510922415468449792,332,awful mt @user uk aid worker david haines beheaded by isis remember this great man this way not as isis wants url
twitter15_510931521306243072,333,update uk prime minister david cameron describes apparent beheading of david haines as an act of pure evil url
twitter15_511330322831507456,334,life in obama s america govt officials threaten to prosecute american families for trying to save their loved ones url
twitter15_511918957255991296,335,three of five detainees swapped are now isis leaders url talibanswap tcot ccot usa bowie url
twitter15_513749585391390720,338,starbucks is testing a new latte that tastes exactly like guinness url url
twitter15_513779458340569088,339,starbucks is testing a new latte that tastes exactly like guinness url
twitter15_513922322915282945,340,three of five detainees swapped are now isis leaders claims url url url
twitter15_514039286845698048,341,alaskan reporter says f ck this quits on live tv her coworker s reaction is priceless url url
twitter15_514057033419849728,342,alaskan reporter says f ck this quits on live tv in marijuana legalization protest url url
twitter15_514062859987595264,343,florida woman surgically adds third breast in bid to become reality tv star url url
twitter15_514067907475959808,344,florida woman surgically adds third breast in bid to become reality tv star url via daily mail
twitter15_514072132301910016,345,a florida woman had surgery to add a third breast to make herself unatttractive to men url url
twitter15_514081464171102208,346,a florida woman had surgery to give herself a third boob url url
twitter15_514098803347951616,347,breaking news the 3 missing afghan soldiers have been found trying to cross into canada at the rainbow bridge in niagara falls ny nbc
twitter15_514098833253748736,348,breaking 3 missing afghan soldiers have been found trying to cross the border into canada senior law enforcement source tells nbc news
twitter15_514100169307348992,349,reports missing afghan soldiers found trying to cross into canada source says @user @user @user url fixes typo
twitter15_514106273852174337,350,just in missing afghan soldiers found trying to enter canada near niagara falls url url
twitter15_514106939173634048,351,breaking missing afghan soldiers reportedly found near canadian border url
twitter15_514109888138842113,352,alaskan reporter says f ck this quits on live tv her coworker s reaction is priceless url url
twitter15_514142113601437696,353,well this is one way to quit your job watch alaskan reporter charlo green quit live on air url url
twitter15_514148279601606656,354,starbucks is experimenting with a beer flavored latte that reportedly tastes like guinness url
twitter15_514150992552931328,355,florida woman pays 20 000 for third breast url url
twitter15_514201362729828352,356,three missing afghan officers are in custody at the u s canada border police say url
twitter15_514395350615203841,358,reporter charlo green quit on air to start a marijuana business url will quitting on tv pay off url
twitter15_514420223873941504,359,police officers deliver the pie after pizza hut driver injured in crash url url
twitter15_514429381737852929,360,some iphone 6 plus owners accidentally bending their iphones in pockets url by @user
twitter15_514451906211893248,361,oregon police officers step in and make delivery after pizza hut driver gets injured in a car crash url odd
twitter15_514468018970034176,362,iphone 6 plus users are sitting on and bending their enormous new phones url
twitter15_514478918636535808,363,portland cops complete delivery after pizza hut driver injured in crash url url
twitter15_514483762566922240,364,iphone 6 users report that their phones are bending in their pockets lol url url
twitter15_514495841600811009,365,iphone 6 owners claim it s bending in their pockets url
twitter15_514508854990999553,366,apple fans tight pants are bending the iphone 6 plus url bendghazi url
twitter15_514512849876836352,367,don t put your iphone 6 in your pocket y all url url
twitter15_514517213022543872,368,2 000 000 views incoming rt @user iphone 6 plus bend test url
twitter15_514517470238240768,369,and here s a guy bending an iphone 6 plus with his bare hands url url
